epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
52,260.442,0.37234,0.56649,0.43066,0.98735,0.91147,0.84395,0.88015,0.76801,0.88438,0.81967,0.84816,0.7086,0.52473,1.39973,0.88738,0.90576,0.0009902,0.0009902,0.0009902
53,265.465,0.35856,0.66054,0.43445,0.96405,0.89671,0.81967,0.84536,0.72256,0.87878,0.80328,0.84049,0.70093,0.64285,1.39142,1.0297,1.05032,0.0009704,0.0009704,0.0009704
54,270.419,0.39394,0.58416,0.46164,1.01572,0.85301,0.85246,0.86873,0.75313,0.85672,0.88222,0.8751,0.71356,0.59741,1.36633,0.87645,0.96182,0.0009506,0.0009506,0.0009506
55,275.342,0.36778,0.50894,0.43759,0.95217,0.87471,0.80115,0.8416,0.70417,0.85683,0.78494,0.82838,0.64731,0.57625,1.5761,0.86211,0.96741,0.0009308,0.0009308,0.0009308
56,280.283,0.34556,0.56218,0.37821,0.94479,0.82444,0.84688,0.83906,0.65306,0.80815,0.78689,0.76657,0.5997,0.7253,1.90274,1.00476,1.14652,0.000911,0.000911,0.000911
57,285.262,0.35346,0.56038,0.40955,0.96248,0.74658,0.82104,0.81301,0.6491,0.71684,0.78855,0.77284,0.60746,0.7514,1.88821,0.99597,1.12467,0.0008912,0.0008912,0.0008912
58,290.191,0.43583,0.67466,0.45123,1.0125,0.88283,0.86469,0.8782,0.75298,0.84936,0.83191,0.83405,0.69373,0.53602,1.51213,1.01541,0.93456,0.0008714,0.0008714,0.0008714
59,295.104,0.36062,0.51718,0.40677,0.94792,0.84105,0.90164,0.85035,0.68575,0.82575,0.88525,0.82237,0.66124,0.59802,1.41022,0.84763,1.04053,0.0008516,0.0008516,0.0008516
60,300.081,0.345,0.48463,0.41717,0.95247,0.87693,0.83607,0.84393,0.70383,0.85565,0.81967,0.79729,0.65631,0.52512,1.36486,0.87692,0.95707,0.0008318,0.0008318,0.0008318
61,304.996,0.33335,0.51334,0.37932,0.94943,0.92416,0.85246,0.89791,0.74598,0.88837,0.81967,0.83306,0.70137,0.55794,1.30087,0.71721,0.94232,0.000812,0.000812,0.000812
62,309.98,0.34308,0.44095,0.39118,0.96351,0.92954,0.86514,0.93088,0.8081,0.91197,0.84918,0.89294,0.75409,0.52702,1.19659,0.72812,0.88612,0.0007922,0.0007922,0.0007922
63,315.022,0.33112,0.51948,0.37083,0.93463,0.9463,0.8667,0.91648,0.80046,0.91051,0.83405,0.89361,0.75895,0.53873,1.36207,0.77007,0.90974,0.0007724,0.0007724,0.0007724
64,319.94,0.3364,0.60235,0.40245,0.95239,0.92946,0.86412,0.90604,0.79556,0.93749,0.81967,0.86307,0.75395,0.53464,1.5652,0.63544,0.92608,0.0007526,0.0007526,0.0007526
